,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
213,,,,,,,,,,,Q7L3V2,Q96E11,Q8NBU5,P45880,Q9NTG7,O95822,,,,N/A
214,,,,,,,,,,,Q9NR77,Q9NZ45,Q9NRA0,P31327,Q92667,Q16775,,,,N/A
215,,,,,,,,,,,Q99798,Q9H5Q4,P05091,Q16891,P00156,O75879,,,,N/A
216,,,,,,,,,,,Q9HCC0,Q02978,Q10713,Q7Z4W1,Q96GA7,Q9P0J6,,,,N/A
217,,,,,,,,,,,P25705,P34897,P35232,Q8NE86,O60260,P14735,,,,N/A
218,,,,,,,,,,,Q9NNW7,P61604,P54098,Q7Z6M4,Q9Y276,P31930,,,,N/A
219,,,,,,,,,,,Q16881,Q9UHN1,Q14296,P42126,P49914,O95258,,,,N/A
220,,,,,,,,,,,O14548,Q9UJ68,Q8NE86,Q9NNW7,Q9HA77,Q9H1K1,,,,N/A
221,,,,,,,,,,,Q14318,Q7L3V2,Q9NPE2,Q12887,O94761,Q9BV79,,,,N/A
222,,,,,,,,,,,Q96AY3,P35232,P43304,P31930,Q96PN6,P40305,,,,N/A
223,,,,,,,,,,,P31040,O95563,P49448,P14854,Q96RP9,Q02218,,,,N/A
224,,,,,,,,,,,Q6J4K2,P0DKB6,Q96PG8,P13051,O75879,Q9H4A6,,,,N/A
225,,,,,,,,,,,Q5JRX3,Q9Y5U8,Q00325,P54098,Q16822,O15527,,,,N/A
226,,,,,,,,,,,Q9UIJ7,O14874,Q9BXW6,Q9BQ95,Q9HD23,Q4J6C6,,,,N/A
227,,,,,,,,,,,P00403,Q9BPX6,Q14596,P22307,Q8NI60,P10109,,,,N/A
228,,,,,,,,,,,O75964,P36957,Q9NS69,Q5SXM8,Q16795,Q9HD36,,,,N/A
229,,,,,,,,,,,P22033,P49675,O96008,P49916,O14548,P40939,,,,N/A
230,,,,,,,,,,,O43708,Q13405,Q15388,Q13232,Q9UHK6,P55211,,,,N/A
